"filename","folder","source__sourceImage","source__sourceAnnotation","object__name","object__deleted","object__verified","object__occluded","object__attributes","object__parts__hasparts","object__parts__ispartof","object__date","object__id","object__polygon__username","object__polygon__pt__x","object__polygon__pt__y","imagesize__nrows","imagesize__ncols"
"","","","","","","","","","","","","","","423","987","",""
"","","","","","","","","","","","","","","427","991","",""
"","","","","","","","","","","","","","","433","996","",""
"","","","","","","","","","","","","","","441","1004","",""
"","","","","","","","","","","","","","","450","1008","",""
"","","","","","","","","","","","","","","458","1009","",""
"","","","","","","","","","","","","","","461","1008","",""
"","","","","","","","","","","","","","","462","998","",""
"","","","","","","","","","","","","","","460","994","",""
"","","","","","","","","","","","","","","452","982","",""
"","","","","","","","","","","","","","","449","978","",""
"","","","","","","","","","","","","","","437","969","",""
"","","","","","","","","","","","","","","432","962","",""
"","","","","","","","","","","","","","","424","955","",""
"","","","","","","","","","","","","","","411","945","",""
"","","","","","","","","","","","","","","406","942","",""
"","","","","","","","","","","","","","","420","941","",""
"","","","","","","","","","","","","","","427","941","",""
"","","","","","","","","","","","","","","428","940","",""
"","","","","","","","","","","","","","","423","935","",""
"","","","","","","","","","","","","","","408","933","",""
"","","","","","","","","","","","","","","398","928","",""
"","","","","","","","","","","","","","","389","922","",""
"","","","","","","","","","","","","","","377","915","",""
"","","","","","","","","","","","","","","367","909","",""
"","","","","","","","","","","","","","","359","906","",""
"","","","","","","","","","","","","","","348","900","",""
"","","","","","","","","","","","","","","335","894","",""
"","","","","","","","","","","","","","","317","889","",""
"","","","","","","","","","","","","","","306","887","",""
"","","","","","","","","","","","","","","290","884","",""
"","","","","","","","","","","","","","","278","881","",""
"","","","","","","","","","","","","","","267","875","",""
"","","","","","","","","","","","","","","257","874","",""
"","","","","","","","","","","","","","","244","876","",""
"","","","","","","","","","","","","","","233","881","",""
"","","","","","","","","","","","","","","226","885","",""
"","","","","","","","","","","","","","","218","893","",""
"","","","","","","","","","","","","","","214","905","",""
"","","","","","","","","","","","","","","212","919","",""
"","","","","","","","","","","","","","","211","924","",""
"","","","","","","","","","","","","","","209","937","",""
"","","","","","","","","","","","","","","213","951","",""
"","","","","","","","","","","","","","","221","958","",""
"","","","","sleeve","0","0","","sleeve, arm, clothing","","","25-Jul-2019 09:58:24","22","A1CJ8CLM7987EQ","226","873","",""
"","","","","","","","","","","","","","","148","836","",""
"","","","","","","","","","","","","","","111","841","",""
"","","","","","","","","","","","","","","87","882","",""
"","","","","","","","","","","","","","","80","918","",""
"","","","","","","","","","","","","","","98","951","",""
"","","","","","","","","","","","","","","120","964","",""
"","","","","","","","","","","","","","","156","971","",""
"","","","","","","","","","","","","","","194","966","",""
"","","","","","","","","","","","","","","215","956","",""
"","","","","sleeve","0","0","","sleeve, arm, clothing","","","25-Jul-2019 09:58:34","23","A1CJ8CLM7987EQ","571","939","",""
"","","","","","","","","","","","","","","621","990","",""
"","","","","","","","","","","","","","","624","1049","",""
"","","","","","","","","","","","","","","497","1057","",""
"","","","","","","","","","","","","","","446","1062","",""
"","","","","","","","","","","","","","","425","1009","",""
"","","","","","","","","","","","","","","420","966","",""
"","","","","","","","","","","","","","","428","945","",""
"","","","","","","","","","","","","","","512","951","",""
"","","","","sky","0","0","","sky, up, sun, blue","","","25-Jul-2019 09:59:02","24","A1CJ8CLM7987EQ","2","2","",""
"","","","","","","","","","","","","","","11","237","",""
"","","","","","","","","","","","","","","191","271","",""
"","","","","","","","","","","","","","","229","286","",""
"","","","","","","","","","","","","","","342","106","",""
"","","","","","","","","","","","","","","424","106","",""
"","","","","","","","","","","","","","","520","140","",""
"","","","","","","","","","","","","","","570","231","",""
"","","","","","","","","","","","","","","679","310","",""
"","","","","","","","","","","","","","","735","318","",""
"","","","","","","","","","","","","","","770","255","",""
"","","","","","","","","","","","","","","796","5","",""
"","","","","forehead","0","0","","front, face, wrinkles","","","25-Jul-2019 09:59:20","25","A1CJ8CLM7987EQ","401","165","",""
"","","","","","","","","","","","","","","457","233","",""
"","","","","","","","","","","","","","","350","242","",""
"","","","","","","","","","","","","","","298","245","",""
"","","","","","","","","","","","","","","287","202","",""
"","","","","","","","","","","","","","","298","180","",""
"","","","","","","","","","","","","","","339","167","",""
"","","","","tree","0","0","","leaves, branch, roots","","","25-Jul-2019 09:59:37","26","A1CJ8CLM7987EQ","90","446","",""
"","","","","","","","","","","","","","","56","319","",""
"","","","","","","","","","","","","","","10","244","",""
"","","","","","","","","","","","","","","6","451","",""
"","","","","","","","","","","","","","","74","449","",""
"","","","","hand","0","0","","fingers, arm, body, anatomy","","","25-Jul-2019 10:05:41","27","A2HC04434S9TP0","244","967","",""
"","","","","","","","","","","","","","","208","977","",""
"","","","","","","","","","","","","","","190","1002","",""
"","","","","","","","","","","","","","","177","1032","",""
"","","","","","","","","","","","","","","183","1050","",""
"","","","","","","","","","","","","","","196","1065","",""
"","","","","","","","","","","","","","","215","1069","",""
"","","","","","","","","","","","","","","223","1092","",""
"","","","","","","","","","","","","","","238","1102","",""
"","","","","","","","","","","","","","","254","1100","",""
"","","","","","","","","","","","","","","254","1077","",""
"","","","","","","","","","","","","","","256","1050","",""
"","","","","","","","","","","","","","","292","1042","",""
"","","","","","","","","","","","","","","311","1038","",""
"","","","","","","","","","","","","","","311","1029","",""
"","","","","","","","","","","","","","","288","1007","",""
"","","","","","","","","","","","","","","271","992","",""
"","","","","","","","","","","","","","","260","982","",""
"","","","","forest","0","0","","green, trees, background","","","25-Jul-2019 10:06:22","28","A2HC04434S9TP0","656","267","",""
"","","","","","","","","","","","","","","638","225","",""
"","","","","","","","","","","","","","","625","208","",""
"","","","","","","","","","","","","","","581","192","",""
"","","","","","","","","","","","","","","554","200","",""
"","","","","","","","","","","","","","","540","217","",""
"","","","","","","","","","","","","","","546","290","",""
"","","","","","","","","","","","","","","561","329","",""
"","","","","","","","","","","","","","","604","321","",""
"","","","","","","","","","","","","","","648","317","",""
"","","","","","","","","","","","","","","673","319","",""
"","","","","lake","0","0","","water, fresh, tasty, background","","","25-Jul-2019 10:07:06","29","A2HC04434S9TP0","4","483","",""
"","","","","","","","","","","","","","","35","511","",""
"","","","","","","","","","","","","","","81","502","",""
"","","","","","","","","","","","","","","98","490","",""
"","","","","","","","","","","","","","","117","471","",""
"","","","","","","","","","","","","","","175","469","",""
"","","","","","","","","","","","","","","200","477","",""
"","","","","","","","","","","","","","","217","481","",""
"","","","","","","","","","","","","","","242","469","",""
"","","","","","","","","","","","","","","250","433","",""
"","","","","","","","","","","","","","","229","398","",""
"","","","","","","","","","","","","","","206","398","",""
"","","","","","","","","","","","","","","181","404","",""
"","","","","","","","","","","","","","","142","421","",""
"","","","","","","","","","","","","","","131","429","",""
"","","","","","","","","","","","","","","115","431","",""
"","","","","","","","","","","","","","","73","467","",""
"","","","","","","","","","","","","","","38","471","",""
"","","","","vegetation","0","0","","dark brown, background, bushes","","","25-Jul-2019 10:08:41","30","A2HC04434S9TP0","652","517","",""
"","","","","","","","","","","","","","","700","483","",""
"","","","","","","","","","","","","","","727","471","",""
"","","","","","","","","","","","","","","734","446","",""
"","","","","","","","","","","","","","","742","433","",""
"","","","","","","","","","","","","","","748","433","",""
"","","","","","","","","","","","","","","763","467","",""
"","","","","","","","","","","","","","","792","438","",""
"","","","","","","","","","","","","","","796","463","",""
"","","","","","","","","","","","","","","794","563","",""
"","","","","","","","","","","","","","","794","567","",""
"","","","","","","","","","","","","","","756","552","",""
"","","","","","","","","","","","","","","736","554","",""
"","","","","","","","","","","","","","","742","536","",""
"","","","","","","","","","","","","","","744","533","",""
"","","","","","","","","","","","","","","711","529","",""
"","","","","","","","","","","","","","","696","533","",""
"","","","","","","","","","","","","","","663","536","",""
"","","","","","","","","","","","","","","654","533","",""
